ATAOS,45,0.15%
ATCamera,47,0.15%
ATDome,45,0.15%
ATDomeTrajectory,49,0.16%
ATHeaderService,68,0.22%
ATHexapod,47,0.15%
ATMCS,77,0.25%
ATMonochromator,49,0.16%
ATOODS,45,0.15%
ATPneumatics,82,0.27%
ATPtg,45,0.15%
ATSpectrograph,49,0.16%
ATWhiteLight,48,0.16%
CCCamera,80,0.26%
CCHeaderService,49,0.16%
CCOODS,66,0.22%
DIMM,92,0.30%
Electrometer,99,0.32%
ESS,897,2.91%
FiberSpectrograph,77,0.25%
GCHeaderService,204,0.66%
GenericCamera,147,0.48%
GIS,1413,4.59%
HVAC,69,0.22%
LaserTracker,49,0.16%
MTAirCompressor,100,0.33%
MTAOS,45,0.14%
MTDome,45,0.15%
MTDomeTrajectory,49,0.16%
MTHexapod,96,0.31%
MTM1M3,25323,82.22%
MTM1M3TS,89,0.29%
MTM2,361,1.17%
MTMount,121,0.39%
MTPtg,45,0.15%
MTRotator,47,0.15%
MTVMS,70,0.23%
OCPS,92,0.30%
PMD,45,0.15%
Scheduler,95,0.31%
ScriptQueue,97,0.32%
Test,46,0.15%
Watcher,46,0.15%
WeatherForecast,49,0.16%
**Total**,**30800**,**100.00%**
