**CSC**,**Event Topic**,**Size(MB)**
TM1M3,MTM1M3.logevent_forceActuatorWarning,22555
TM1M3,MTM1M3.logevent_interlockStatus,1487
GIS,GIS.logevent_systemStatus,1369
TM1M3,MTM1M3.logevent_ilcWarning,1236
ESS,ESS.logevent_heartbeat,562
ESS,ESS.logevent_sensorStatus,335
GCHeaderService,GCHeaderService.logevent_heartbeat,204
TM2,MTM2.logevent_logMessage,188
GenericCamera,GenericCamera.logevent_heartbeat,147
TAirCompressor,MTAirCompressor.logevent_heartbeat,100
Electrometer,Electrometer.logevent_heartbeat,99
ScriptQueue,ScriptQueue.logevent_heartbeat,97
THexapod,MTHexapod.logevent_heartbeat,96
Scheduler,Scheduler.logevent_heartbeat,95
OCPS,OCPS.logevent_heartbeat,92
DIMM,DIMM.logevent_heartbeat,92
TM2,MTM2.logevent_summaryFaultsStatus,84
ATPneumatics,ATPneumatics.logevent_heartbeat,82
CCCamera,CCCamera.logevent_heartbeat,80
ATMCS,ATMCS.logevent_heartbeat,77
FiberSpectrograph,FiberSpectrograph.logevent_heartbeat,77
TMount,MTMount.logevent_clockOffset,75
TVMS,MTVMS.logevent_heartbeat,70
HVAC,HVAC.logevent_heartbeat,69
CCOODS,CCOODS.logevent_heartbeat,66
TM1M3TS,MTM1M3TS.logevent_heartbeat,57
ATDomeTrajectory,ATDomeTrajectory.logevent_heartbeat,49
TDomeTrajectory,MTDomeTrajectory.logevent_heartbeat,49
ATHeaderService,ATHeaderService.logevent_heartbeat,49
WeatherForecast,WeatherForecast.logevent_heartbeat,49
LaserTracker,LaserTracker.logevent_heartbeat,49
CCHeaderService,CCHeaderService.logevent_heartbeat,49
ATMonochromator,ATMonochromator.logevent_heartbeat,49
ATSpectrograph,ATSpectrograph.logevent_heartbeat,49
ATWhiteLight,ATWhiteLight.logevent_heartbeat,48
ATCamera,ATCamera.logevent_heartbeat,47
TRotator,MTRotator.logevent_heartbeat,47
ATHexapod,ATHexapod.logevent_heartbeat,47
TMount,MTMount.logevent_heartbeat,46
Test,Test.logevent_heartbeat,46
Watcher,Watcher.logevent_heartbeat,46
ATOODS,ATOODS.logevent_heartbeat,45
ATDome,ATDome.logevent_heartbeat,45
TDome,MTDome.logevent_heartbeat,45
PMD,PMD.logevent_heartbeat,45
ATPtg,ATPtg.logevent_heartbeat,45
TPtg,MTPtg.logevent_heartbeat,45
ATAOS,ATAOS.logevent_heartbeat,45
TM2,MTM2.logevent_heartbeat,45
TAOS,MTAOS.logevent_heartbeat,45
GIS,GIS.logevent_heartbeat,45
TM1M3,MTM1M3.logevent_heartbeat,44
TM2,MTM2.logevent_m2AssemblyInPosition,44
TM1M3TS,MTM1M3TS.logevent_glycolPumpStatus,33
ATHeaderService,ATHeaderService.logevent_logMessage,19
